ProteinID,experiment_name,label,set
tr|A0A2K3D3A9|A0A2K3D3A9_CHLRE,CHLRE_SEC1,pos,val
tr|A0A2K3D2A7|A0A2K3D2A7_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3D8F0|A0A2K3D8F0_CHLRE,CHLRE_IEX1,pos,val
sp|Q6P996|PDXD1_HUMAN,HEKR_SEC2,pos,val
sp|Q9Y4E8|UBP15_HUMAN,HEK_SEC1,pos,val
tr|A0A2K3CZ51|A0A2K3CZ51_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3CUI0|A0A2K3CUI0_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3D5P0|A0A2K3D5P0_CHLRE,CHLRE_SEC2,pos,val
tr|A0A2K3D2Q9|A0A2K3D2Q9_CHLRE,CHLRE_SEC1,pos,val
sp|Q13263|TIF1B_HUMAN,HEK_IEX1,pos,val
tr|A0A2K3D588|A0A2K3D588_CHLRE,CHLRE_IEX1,pos,val
sp|P18206|VINC_HUMAN,HEKR_SEC2,pos,val
sp|P48444|COPD_HUMAN,HEK_IEX1,pos,val
tr|A0A2K3DHP9|A0A2K3DHP9_CHLRE,CHLRE_SEC1,pos,val
tr|Q94AJ9|Q94AJ9_ARATH,ARATH_IEX1,pos,val
tr|A0A2K3D2Q9|A0A2K3D2Q9_CHLRE,CHLRE_IEX1,pos,val
tr|A0A2K3DDH8|A0A2K3DDH8_CHLRE,CHLRE_IEX1,pos,val
tr|Q9ATK5|Q9ATK5_CHLRE,CHLRE_SEC1,pos,val
sp|Q13283|G3BP1_HUMAN,HEKR_SEC1,pos,val
